   Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
   29,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/29,Zobrazení hesla při resetu,Open,"Pro proces resetu/nastavení hesla potřebujeme mechanizmus, jak administrátorovi zobrazit heslo uživatele(předá ho pak mimo systém) a zároveň zajistit, aby se nikam nezapisoval. Tedy nějaké transient pole, které žije jen v klientovi a nikdy se nikam nezasílá.   Jak toho můžeme dnes dosáhnout?",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-23 15:50:40,2020-09-24 08:37:32,,,,"Medium,feature",0,0
   33,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/33,xml adaptér,Open,"pro integraci s idm budou použity xml zprávy. Funkční xml adaptér byl přislíben v zářiovém release s tím, že 18/9 proběhne školení na jeho používání. Zakládám proto issue do gitlabu, adaptér nutně potřebujeme v dalším release (předpokládám, že bude 29/9) zejména pro sf.",Krikava Pavel,krikava_cgi,Besta Petr,besta_goodatit,No,No,,2020-09-25 10:03:35,2020-10-06 19:33:00,,,,"High,In Progress,feature",0,0
   34,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/34,makrotester,Open,"Je žádoucí, aby makrotester mel jako dalsi spousteci parametr nazev souboru s nazvem testovaneho makra, slo by zretezit testy v davce a testovat serii maker v jedne serii. Velmi by to zrychlilo testovani mWF.      napr.   `makro_tester.exe  config_dll.json test test_makro.txt`      Pakl by totiz slo napsat davku, batch:      <pre>   makro_tester.exe  config_dll.json test test_makro1.txt   makro_tester.exe  config_dll.json test test_makro2.txt   makro_tester.exe  config_dll.json test test_makro3.txt   </pre>",Rysanek Karel,rysanek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-25 18:44:42,2020-09-30 17:39:13,,,,"In Scope,feature",0,0
   36,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/36,Vytvoření základního Workflow s bazálním mWF,Open,"Ani na workshopu 25.9.2020 se nám nepovedlo vytvořit pomocí tutorilálových skriptů případně editorů, základní workflow s jedním mWF, které vloží data z jedné tabulky do druhé, resp. vytvoří nový zánam v cílové tabulce. Některé procesy spouštět nikoliv na základě eventu v rozhraní, ale na pozadí resp. jako reakci na zprávu z web service - např. vytvoření uživatele na základě zprávy z IDM.      Je to základní kostra, kterou potřebujeme pro další práci.",Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-30 10:48:58,2020-10-02 08:42:48,,,,"High,In Scope",0,0
   38,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/38,"MikroWF editor nezobrazuje DWBRITE a další interni mWF, které by bylo vhodné zobrazit",Open,"'@kubala_cdt na workshopu konstatoval, že některá interní mWF by měla být v nabídce mWF editoru např. DBWRITE.![mWF-DBWRITE](/uploads/f0cbe841beb35206dc0434ea92c69dc7/mWF-DBWRITE.PNG)",Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-10-02 12:34:49,2020-10-09 20:22:12,,,,"In Review,Medium,feature",0,0
   39,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/39,Postup registrace DLL,Open,"Prosím o zdokumentování postupu, jak registrovat DLL na prostředí. Postup by měl obsahovat:   * postup a umístění, jak nakopírovat DLL na server(y) vývojového prostředí v CDT   * konfigurace začlenění DLL do workflow   * popis způsobu ladění DLL (kde hledat případné problémy)",Rasek Ludek,rasek_cgi,Fabio Melloni,melloni_goodatit,No,No,,2020-10-05 08:56:39,2020-10-07 16:51:07,,,,"In Scope,Medium,documentation",0,0
   41,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/41,Řazení objektů v Service selectoru a v TPI aplikaci,Open,"Nově jsem do aplikace přidala tabulky TPI_UZIVATEL dafault show obj list service, R_UZIVATEL_STAV default show object list service. V Service selector configuratoru se mi zařadily chronologicky dospod seznamu TPI, v aplikaci se pod TPI nezařadily. Ze zobrazení v aplikaci není jasné, jestli se zařadily pod Metadata, nebo se nezařadily pod žádný strom.![přidané_položky_SSC](/uploads/8d3ef232e5c94cdf640f3620efd64cd1/přidané_položky_SSC.PNG)      ![přidané_položky_TPI](/uploads/556bdd2f64a5ed3423420f8e8e8e5ee8/přidané_položky_TPI.PNG)",Sklenarova Pavla,sklenarova_cgi,Elias Milan,elias_goodatit,No,No,,2020-10-05 13:56:27,2020-10-09 16:24:51,,Release 1,,"Bug,In Progress,Low",0,0
   42,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/42,Implentace spravy souboů (DMS),Open,"Správu souborů potřebujeme pro implmentaci report engine      Pro správu souborů, které bude systém používat byla dohodnuta forma implementace interního DMS, které poskytne následující služby:   * soubory jsou popsané jako objekty v TPI modelu a uloženy na úložišti spravovaném jádrem   * jádro poskytne funkce pro       * stažení souboru uloženého v DMS       * nahrání souboru k uložení v DMS       * smazání souboru z DMS   * funkce budou dostupné       * z UI jako ovládací prvek       * z DLL knihoven resp. bude existovat standardní postup, jak kód v DLL knihovně získá obsah suboru uloženého v DMS a jak do DMS soubor uloží.",Rasek Ludek,rasek_cgi,Jan Mracek,mracek,No,No,,2020-10-06 08:38:19,2020-10-07 16:36:32,,Release 1,,"In Scope,Medium,feature",0,0
   43,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/43,DB model - zpristupneni,Open,"Radi bychom nahledli do DB modelu jadra, alespon v castech sosusedicich s nasimi frameworky. Asi by stacil nekam umistit export/obrazek prislusnych casti sem na gitLAB.",Rysanek Karel,rysanek_cgi,Hajek Milan,hajek_goodatit,No,No,,2020-10-07 13:05:48,2020-10-07 14:20:27,,,,"In Scope,documentation",0,0
   45,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/45,MSTeams se po připojení do vpn ČDT odpojí,Open,"Opakovaně se mi stává, že po připojení do vpn ČDT se MS Teams odpojí. Což je pro společnou práci závada dosti podstatná.   Moje investigace napovídá, že možná nefungují spolehlivě DNS servery. Přikládám   [ výpis ipconfig po připojení do vpn ČDT](/uploads/5d9b0ee03e7f1e374bc74ddda077a7c1/ipconfigCDT.txt) a výsledek zkušebního pingu ![pingu na microsoft.com](/uploads/cc18eacfbea45b84d25666bf191844ee/pingMSfromCDTvpn.PNG)      Bez připojení do vpn ČDT a současném fungování MS Teams nemohu plnohodnotně absolvovat školení a už vůbec ne předváděčky.",Rysanek Karel,rysanek_cgi,Jan Mracek,mracek,No,No,,2020-10-09 10:10:05,2020-10-12 09:40:59,,,,"High,In Scope,bug",0,0
